name,url,price_adult,address,phone,closed_days,open_hours,lat,lng
白山浴場,https://www.1010.or.jp/map/item/item-cnt-1,550,東京都文京区白山２−７−１,03-3811-1052,月曜、最終火曜,１６：００−２３：００,35.7157602,139.748458199999
ニコニコ湯,https://www.1010.or.jp/map/item/item-cnt-2,550,東京都足立区千住柳町２−１０,03-3882-6645,木曜営業の場合あり,１５：００−２４：００,35.7528395,139.797328
あづま浴泉,https://www.1010.or.jp/map/item/item-cnt-3,550,東京都江戸川区中央２−３４−２,03-3654-0034,水曜、第１・第３木曜、第２土曜,１４：００−２１：００（２０：３０最終入店）,35.7087625,139.875684099999
湯の楽代田橋温泉,https://www.1010.or.jp/map/item/item-cnt-4,550,東京都杉並区和泉１−１−４,03-3321-4938,木曜,１５：００−２４：００日曜は１４：００から営業,35.672608,139.6597375
丸正浴場,https://www.1010.or.jp/map/item/item-cnt-5,550,東京都世田谷区喜多見４−３６−１６,03-3417-6804,水曜、第３火曜,１５：００−２２：００,35.6324954,139.591847899999
銀座湯,https://www.1010.or.jp/map/item/item-cnt-6,550,東京都中央区銀座１−１２−２,03-3561-2550,日曜、祝日,１５：００−２３：００,35.6744,139.770200299999
鶴の湯,https://www.1010.or.jp/map/item/item-cnt-7,550,東京都台東区浅草橋５−２７−２,03-3851-4569,土曜,１５：３０−２４：００,35.7012777,139.7834626
堤柳泉,https://www.1010.or.jp/map/item/item-cnt-8,550,東京都台東区千束４−５−４,03-3871-2395,月曜,１３：００−２２：００日曜、祝日は１２：００から営業,35.7236871,139.7974964
富久の湯,https://www.1010.or.jp/map/item/item-cnt-9,550,東京都台東区千束２−３４−６,03-5656-3592,不定休,月曜１５：４５−２３：３０、火・水・金・土曜６：００−１０：００／１５：４５−２３：３０、木曜６：００−１０：００、日曜６：００−１０：００／１５：４５−２２：３０※最終受付は営業終了30分前,35.722601,139.790474799999
ふれあいの湯,https://www.1010.or.jp/map/item/item-cnt-11,550,東京都港区芝２−２−１８,03-5442-2639,月曜※ただし、敬老の日は営業し、その翌日休業となります。,１５：００−２３：００、日・祝日は１４：００−２３：００,35.6530576,139.752740899999
大勝湯,https://www.1010.or.jp/map/item/item-cnt-12,550,東京都荒川区南千住１−１９−４,03-3806-0141,水曜,１０：００−２１：００,35.7330223,139.790663099999
タイムリゾート,https://www.1010.or.jp/map/item/item-cnt-13,550,東京都荒川区町屋４−４−１,03-3819-7941,金曜,１５：００−２４：００,35.7457258,139.7771996
高砂湯,https://www.1010.or.jp/map/item/item-cnt-14,550,東京都墨田区立川４−１１−１２,03-3631-3233,月曜、水曜,１５：３０−２３：００,35.6910819,139.8066552
押上温泉 大黒湯,https://www.1010.or.jp/map/item/item-cnt-15,550,東京都墨田区横川３−１２−１４,03-3622-6698,火曜祝日の場合は翌日休,１５：００−翌朝１０：００土曜は１４時から、日・祝日は１３時から営業,35.7050025,139.813623799999
寺島浴場,https://www.1010.or.jp/map/item/item-cnt-16,550,東京都墨田区東向島６−３４−１８,03-3611-6755,月曜、火曜,１６：００－２３：００、土・日曜１５：００－２３：００,35.7246458,139.821005799999
ニュー松の湯,https://www.1010.or.jp/map/item/item-cnt-17,550,東京都江東区東陽３−１２−１１,03-3644-6064,月曜祝日は翌日休,１５：００−２２：３０,35.6702149,139.809746799999
第二久の湯,https://www.1010.or.jp/map/item/item-cnt-18,550,東京都江東区大島１−３６−６,03-3637-1226,木曜,１５：００−２２：００,35.6873602,139.82582
喜楽湯,https://www.1010.or.jp/map/item/item-cnt-19,550,東京都江東区南砂４−１５−１９,03-3644-3803,土曜,１６：００−２２：３０,35.6723789,139.830797299999
若松湯,https://www.1010.or.jp/map/item/item-cnt-21,550,東京都足立区中央本町２−１９−１１,03-3886-5230,金曜,１５：００−２４：００,35.7704373,139.8100785
星谷浴泉,https://www.1010.or.jp/map/item/item-cnt-22,550,東京都足立区扇１−３４−３,03-3890-1786,月曜,１５：３０−２３：００,35.7633599,139.7773457
大平湯,https://www.1010.or.jp/map/item/item-cnt-23,550,東京都足立区青井６−２１−３,03-3887-4564,月曜祝日は翌日休,１４：３０−２３：５５、日曜は８：００−１２：００／１５：００−２３：５５,35.7779419,139.8141057
アクアガーデン栄湯,https://www.1010.or.jp/map/item/item-cnt-24,550,東京都葛飾区東四つ木３−４５−７,03-3692-5206,月曜、火曜,１７：００−２２：００、日・祝日１７：００−２１：３０,35.7304511,139.8400924
興和浴場,https://www.1010.or.jp/map/item/item-cnt-25,550,東京都葛飾区鎌倉４−１７−１４,03-3658-8359,木曜,１５：２０−２３：３０,35.7496321,139.8796598
第一日立湯,https://www.1010.or.jp/map/item/item-cnt-26,550,東京都葛飾区亀有５−４８−１２,03-3605-0532,月曜祝日は営業,男湯１６：００−２２：００（最終入店２１：３０）、女湯１６：００−２１：４５（最終入店２１：００）,35.7690855,139.8493555
さつき湯,https://www.1010.or.jp/map/item/item-cnt-27,550,東京都葛飾区東堀切３−２７−９,03-3602-1447,月曜,１５：１５−２３：００,35.7532151,139.839085399999
金泉湯,https://www.1010.or.jp/map/item/item-cnt-28,550,東京都江戸川区平井７−１７−３６,03-3612-0582,月曜祝日は翌日休み,１５：００−２２：００,35.7144995,139.8386461
竹の湯,https://www.1010.or.jp/map/item/item-cnt-29,550,東京都江戸川区篠崎町４−２１−１５,03-3677-5036,月曜振替休日は営業,１６：００−２２：００（最終入店は２１：３０）,35.6994762,139.912153699999
庄楽の湯,https://www.1010.or.jp/map/item/item-cnt-31,550,東京都江戸川区上篠崎２−１２−１６,03-3679-3722,木曜、第１・第３・第５水曜,１４：３０−２２：００（最終入店２１：３０）,35.712288,139.9033566
竹の湯,https://www.1010.or.jp/map/item/item-cnt-32,550,東京都新宿区改代町２,03-3268-8544,金曜、土曜,１５：００−２２：３０,35.7065396,139.734606999999
金沢浴場（休業中）,https://www.1010.or.jp/map/item/item-cnt-33,550,東京都新宿区新宿７−２２−１１,03-3203-6784,火曜,１４：００−２３：００,35.700059,139.710278799999
三の輪湯,https://www.1010.or.jp/map/item/item-cnt-34,550,東京都新宿区上落合３−３１−２,03-3368-2661,月曜、第２・第４火曜,１５：３０−２５：００,35.713801,139.6819728
渋谷笹塚温泉 栄湯,https://www.1010.or.jp/map/item/item-cnt-35,550,東京都渋谷区笹塚２−９−５,03-3377-3369,水曜、木曜,１５：００−２４：００、第１・３日曜 １３：００−２４：００（最終受付は閉店の３０分前まで）,35.6756885,139.6687144
アクア東中野,https://www.1010.or.jp/map/item/item-cnt-36,550,東京都中野区東中野４−９−２２,03-5330-1126,月曜祝日は翌日休,１５：００−２４：００,35.7074713,139.685784
月の湯,https://www.1010.or.jp/map/item/item-cnt-37,550,東京都中野区南台２−３０−７,03-3381-8786,月曜、火曜,１５：００−２３：００,35.6841542,139.670147199999
弁天湯,https://www.1010.or.jp/map/item/item-cnt-38,550,東京都杉並区高円寺南３−２５−１,03-3312-0449,月曜,１５：３０−２５：００,35.7008489,139.645076
桜湯,https://www.1010.or.jp/map/item/item-cnt-39,550,東京都杉並区和田３−１１−９,03-3381-8461,木曜,１５：３０−２３：３０,35.6927111,139.6560478
金春湯,https://www.1010.or.jp/map/item/item-cnt-41,550,東京都品川区大崎３−１８−８,03-3492-4150,火曜,月～金曜１５：３０−２４：００、土曜・日曜１０：００−２４：００（入店は３０分前まで）,35.6174221,139.721636499999
戸越銀座温泉,https://www.1010.or.jp/map/item/item-cnt-42,550,東京都品川区戸越２−１−６,03-3782-7400,金曜,１５：００−２５：００日曜、祝日は８：００−１２：００も営業,35.6147723,139.718603499999
中延記念湯,https://www.1010.or.jp/map/item/item-cnt-43,550,東京都品川区旗の台４−１１−２,03-3781-3095,年中無休,１４：００−２５：００日祝は１０：００−２５：００,35.6017067,139.7029748
新呑川湯,https://www.1010.or.jp/map/item/item-cnt-44,550,東京都大田区大森南１−２１−１１,03-3741-9406,金曜,１１：００−２３：００,35.5618739,139.7385134
第一相模湯,https://www.1010.or.jp/map/item/item-cnt-45,550,東京都大田区西六郷２−２９−２,03-3731-1993,月曜,１４：３０−２３：００,35.5495364,139.707608199999
都湯,https://www.1010.or.jp/map/item/item-cnt-46,550,東京都大田区下丸子４−３−１１,03-3759-7575,月曜祝日の場合は翌日休,１４：３０−２４：００,35.5720524,139.6829571
八幡浴場,https://www.1010.or.jp/map/item/item-cnt-47,550,東京都大田区南千束３−１−１３,03-3729-4379,金曜第５金曜および祭日の場合は営業,１６：００−２５：００,35.6044198,139.687262199999
駒の湯,https://www.1010.or.jp/map/item/item-cnt-48,550,東京都世田谷区三軒茶屋２−１７−１３,03-3421-4513,月曜・火曜,１５：３０−２３：３０,35.6429507,139.6671323
石川湯,https://www.1010.or.jp/map/item/item-cnt-49,550,東京都世田谷区北沢３−１２−８,03-3466-4305,月曜祝日の場合は翌日休,１５：１５−２３：４５,35.6654148,139.670772899999
栗の湯,https://www.1010.or.jp/map/item/item-cnt-51,550,東京都世田谷区新町１−３６−６,03-3702-3305,月曜、火曜、水曜※変更の場合もあるのでSNS等で要確認,１４：００−２２：００,35.6275911,139.6466457
みどり湯,https://www.1010.or.jp/map/item/item-cnt-52,550,東京都目黒区緑が丘２−７−１４,03-3717-4516,木曜,１３：００−２２：００,35.6090716,139.674035399999
梅の湯,https://www.1010.or.jp/map/item/item-cnt-53,550,東京都千代田区神田神保町２−８−２,03-3261-5897,日曜、祝日,１５：００−２２：００,35.6966775,139.7553033
稲荷湯（神田）,https://www.1010.or.jp/map/item/item-cnt-54,550,東京都千代田区内神田１−７−３,03-3294-0670,日曜,１４：４０−２２：３０,35.6901591,139.7663695
於玉湯,https://www.1010.or.jp/map/item/item-cnt-55,550,東京都千代田区岩本町２−２−１４,03-3866-2306,月曜、火曜、木曜、金曜、土曜,１４：３０−１９：３０,35.6928257,139.7755661
滝野川稲荷湯,https://www.1010.or.jp/map/item/item-cnt-56,550,東京都北区滝野川６−２７−１４,03-3916-0523,水曜（月に一度連休あり）,１５：００−２４：３０,35.7447078,139.724409199999
金春湯,https://www.1010.or.jp/map/item/item-cnt-57,550,東京都中央区銀座８−７−５,03-3571-5469,日曜、祝日,１４：００−２２：００、土曜のみ１４：００−２０：００,35.6686032,139.761320399999
湊湯,https://www.1010.or.jp/map/item/item-cnt-58,550,東京都中央区湊１−６−２,03-3551-0667,月曜,１５：００−２４：００（最終受付２３：００）,35.6726505,139.779641399999
さくら湯,https://www.1010.or.jp/map/item/item-cnt-59,550,東京都板橋区板橋３−３９−１２,03-3961-3196,月曜、木曜,１５：３０−２０：３０,35.7527565,139.713573799999
熊野湯,https://www.1010.or.jp/map/item/item-cnt-61,550,東京都板橋区志村１−３２−２０,03-3960-5861,水曜,１４：００−２２：００,35.7759585,139.690030799999
光徳湯,https://www.1010.or.jp/map/item/item-cnt-62,550,東京都板橋区徳丸３−１１−１６,03-3933-8740,不定休,１５：００−２３：００日曜は８：３０から営業,35.7705666,139.6554979
日の出湯,https://www.1010.or.jp/map/item/item-cnt-63,550,東京都中央区佃１−６−７,03-3532-1629,木曜,１５：００−２４：００,35.6674928,139.7832803
辰巳湯,https://www.1010.or.jp/map/item/item-cnt-64,550,東京都練馬区桜台４−４２−２,03-3994-2680,水曜,１４：３０−２４：３０,35.740623,139.6568654
月島温泉,https://www.1010.or.jp/map/item/item-cnt-65,550,東京都中央区月島３−４−５−２F,03-3531-1126,第１・第３・第５水曜,１４：３０－２１：３０,35.6635876,139.7810722
勝どき湯,https://www.1010.or.jp/map/item/item-cnt-66,550,東京都中央区勝どき３−９−７,03-5560-1019,火・日曜（土曜は営業）,１５：３０−２２：００,35.657883,139.7741138
十思湯,https://www.1010.or.jp/map/item/item-cnt-67,550,東京都中央区日本橋小伝馬町５−１９,03-6264-9920,日曜,１５：００−２０：００※2026年4月29日～5月31日まで時短営業,35.690653,139.777105
辨天湯,https://www.1010.or.jp/map/item/item-cnt-68,550,東京都台東区浅草橋１−３３−６ 浅草橋シティハイツ１階,03-3864-7100,第２、第４月曜１月１日は休業,１５：３０−２３：００,35.6985003,139.784951399999
帝国湯,https://www.1010.or.jp/map/item/item-cnt-69,550,東京都台東区浅草橋５−２３−６,03-3851-2785,月曜,１５：００−２３：３０,35.7019665,139.781762599999
三筋湯,https://www.1010.or.jp/map/item/item-cnt-71,550,東京都台東区三筋２−１３−２,03-3851-2683,月曜、火曜,１５：００−２２：００,35.7054413,139.786498299999
日の出湯,https://www.1010.or.jp/map/item/item-cnt-72,550,東京都台東区元浅草２−１０−５,03-3841-0969,水曜,１５：００−２３：４０,35.7106463,139.784286999999
天然温泉 湯どんぶり栄湯,https://www.1010.or.jp/map/item/item-cnt-73,550,東京都台東区日本堤１−４−５,03-3875-2885,水曜,１４：００−２３：００日曜、祝日は１２：００から営業,35.7254842,139.7987046
曙湯,https://www.1010.or.jp/map/item/item-cnt-76,550,東京都台東区浅草４−１７−１,03-3873-6750,第２火曜,プレオープン期間（2025/8/9～22）は15：00−24：008/23以降は6：00−9：00、11：00−25：00,35.7182736,139.795435799999
アクアプレイス旭,https://www.1010.or.jp/map/item/item-cnt-77,550,東京都台東区浅草５−１０−５,03-3872-3091,火曜,１５：００−２５：００,35.7201762,139.794533
鶴の湯,https://www.1010.or.jp/map/item/item-cnt-78,550,東京都台東区浅草５−４８−４,03-3872-7753,木曜祝日は前日休,１４：００−２３：００,35.7206957,139.799138099999
富士の湯,https://www.1010.or.jp/map/item/item-cnt-81,550,東京都台東区橋場２−２１−７,03-3876-9530,金曜,１４：００−２３：００,35.7277092,139.8053429
燕湯,https://www.1010.or.jp/map/item/item-cnt-82,550,東京都台東区上野３−１４−５,03-3831-7305,月曜、火曜,６：００～２０：００（最終受付は19時半）,35.7055686,139.772863
寿湯,https://www.1010.or.jp/map/item/item-cnt-83,550,東京都台東区東上野５−４−１７,03-3844-8886,第３木曜、１月１日・２日,１１：００−２５：３０（完全閉店）,35.7122211,139.782675899999
宝泉湯,https://www.1010.or.jp/map/item/item-cnt-88,550,東京都台東区根岸３−１４−１４,03-3875-4126,月曜,１５：００−２４：００,35.722359,139.7825615
白水湯,https://www.1010.or.jp/map/item/item-cnt-89,550,東京都台東区入谷１−２１−１２,03-6802-3316,水曜（祝日の場合は営業）,９：００−２４：００,35.7209704,139.7866641
有馬湯,https://www.1010.or.jp/map/item/item-cnt-92,550,東京都台東区竜泉３−３１−２,03-3873-2978,水曜,１４：００−２３：３０,35.7265396,139.795221399999
改栄湯,https://www.1010.or.jp/map/item/item-cnt-94,550,東京都台東区三ノ輪２−１０−１５,03-6897-2824,火曜,月～金曜１４：００−２４：００、土・日曜１２：００−２４：００※最終入場２３：３０,35.7298811,139.7931645
朝日湯,https://www.1010.or.jp/map/item/item-cnt-96,550,東京都台東区谷中２−１８−７,03-3821-5849,年中無休,１０：００−２５：３０,35.7243496,139.764432299999
豊川浴泉,https://www.1010.or.jp/map/item/item-cnt-97,550,東京都文京区目白台１−１３−１,03-3941-7856,月曜、金曜コインシャワー・ランドリーは無休,１６：００−２３：３０,35.7144662,139.7176746
大黒湯,https://www.1010.or.jp/map/item/item-cnt-99,550,東京都文京区大塚３−８−６,03-3941-5826,月曜、最終火曜,１５：３０−２３：３０,35.7208464,139.7327345
ふくの湯,https://www.1010.or.jp/map/item/item-cnt-104,550,東京都文京区千駄木５−４１−５,03-3823-0371,木曜,１１：００−２４：００、土日祝８：００−２４：００,35.7279871,139.7566007
アクアガーデン三越湯,https://www.1010.or.jp/map/item/item-cnt-107,550,東京都港区白金５−１２−１６,03-3473-4126,水曜、金曜、土曜、日曜,１５：３０−２２：００,35.6447772,139.7242493
麻布黒美水温泉 竹の湯,https://www.1010.or.jp/map/item/item-cnt-108,550,東京都港区南麻布１−１５−１２,03-3453-1446,月、金曜日,１５：３０−２３：３０,35.6514517,139.7342565
南青山　清水湯,https://www.1010.or.jp/map/item/item-cnt-109,550,東京都港区南青山３−１２−３,03-3401-4404,金曜,１２：００−２４：００土、日、祝は１２：００−２３：００,35.6660299,139.7140107
鴻の湯,https://www.1010.or.jp/map/item/item-cnt-111,550,東京都荒川区東日暮里２−２０−１０,03-3801-3011,月曜,１５：３０−２２：３０,35.7316943999999,139.785174699999
雲翠泉,https://www.1010.or.jp/map/item/item-cnt-112,550,東京都荒川区東日暮里３−１６−４,03-3801-4126,水曜,１５：００−２２：００,35.7321357,139.780527799999
帝国湯,https://www.1010.or.jp/map/item/item-cnt-113,550,東京都荒川区東日暮里３−２２−３,03-3891-4637,月曜,１５：００−２２：００,35.7307915,139.7811223
黄金湯,https://www.1010.or.jp/map/item/item-cnt-114,550,東京都荒川区東日暮里３−２７−１０,03-3891-4073,火曜,１５：００−２３：００,35.7289221,139.780378
寿湯（休業中）,https://www.1010.or.jp/map/item/item-cnt-115,550,東京都荒川区東日暮里４−１２−３,03-3801-6595,土曜,１５：００−２３：４０,35.7277418,139.7825112
日暮里 斉藤湯,https://www.1010.or.jp/map/item/item-cnt-118,550,東京都荒川区東日暮里６−５９−２,03-3801-4022,金曜,１４：００−２３：００,35.7294023,139.772972999999
千歳湯,https://www.1010.or.jp/map/item/item-cnt-119,550,東京都荒川区西日暮里４−８−４,03-3828-0229,金曜,１５：３０−２４：００,35.7334123,139.761979399999
草津湯,https://www.1010.or.jp/map/item/item-cnt-123,550,東京都荒川区南千住７−２６−２,03-3801-5574,火曜,１５：００−２２：００,35.7356278,139.7992041
藤の湯,https://www.1010.or.jp/map/item/item-cnt-125,550,東京都荒川区荒川３−１６−４,03-3807-1569,木曜,１４：００−２４：００,35.7329275,139.7829137
喜楽湯,https://www.1010.or.jp/map/item/item-cnt-126,550,東京都荒川区荒川３−５９−１１,03-3805-2005,月曜,１５：００−２３：００（入店は22時半まで）,35.7341270999999,139.779191699999
ニュー恵美須,https://www.1010.or.jp/map/item/item-cnt-134,550,東京都荒川区東尾久４−１７−９,03-3894-7602,第１、３月曜,１４：３０−２３：００,35.7435588,139.7675811
尾久ゆ～ランド（休業中）,https://www.1010.or.jp/map/item/item-cnt-135,550,東京都荒川区東尾久５−２７−５,03-5692-1504,火曜、水曜、木曜,１５：００−２５：００,35.7454031,139.7671533
大門湯（休業中）,https://www.1010.or.jp/map/item/item-cnt-136,550,東京都荒川区東尾久６−１１−２,03-3895-4668,月曜,１６：００−２１：００,35.7465144,139.7747053
梅の湯,https://www.1010.or.jp/map/item/item-cnt-137,550,東京都荒川区西尾久４−１３−２,03-3893-1695,月曜,１５：００−２５：００日曜は８：００～１２：００も営業,35.7467721,139.7614231
千代の湯,https://www.1010.or.jp/map/item/item-cnt-138,550,東京都荒川区西尾久５−２２−１４,03-3893-5439,木曜,１４：００−２３：００,35.7487301,139.759173199999
神田湯,https://www.1010.or.jp/map/item/item-cnt-139,550,東京都荒川区西尾久８−３８−３,03-3893-3413,金曜,１５：００−２４：００,35.7512602,139.751607
松の湯（墨田）,https://www.1010.or.jp/map/item/item-cnt-143,550,東京都墨田区緑３−４−６,03-3846-8988,無休,１５：００−２４：００土曜、日曜は８：００～１３：００も営業,35.6932705,139.8050553
幸楽湯（休業中）,https://www.1010.or.jp/map/item/item-cnt-144,550,東京都墨田区亀沢４−２４−７,03-3622-3766,第１、３、４土曜,１５：３０−２１：００,35.6989254,139.8058163
御谷湯,https://www.1010.or.jp/map/item/item-cnt-145,550,東京都墨田区石原３−３０−８,03-3623-1695,月曜祝日の場合は翌日休,１５：３０−２６：００（最終入場２５：３０）、日曜１５：００−２４：００（最終入場２３：３０）,35.701525,139.804532
荒井湯,https://www.1010.or.jp/map/item/item-cnt-146,550,東京都墨田区本所２−８−７,03-3622-0740,水曜,１５：３０−２３：３０,35.7034332,139.8006583
黄金湯,https://www.1010.or.jp/map/item/item-cnt-149,550,東京都墨田区太平４−１４−６,03-3622-5009,第２・第４月曜,６：００−９：００／１１：００−２４：３０,35.7023278,139.8152737
さくら湯,https://www.1010.or.jp/map/item/item-cnt-151,550,東京都墨田区業平４−６−５,03-3623-6917,月曜（祝日の場合は翌日休）,１５：００−２４：００,35.7074107,139.814937399999
薬師湯,https://www.1010.or.jp/map/item/item-cnt-152,550,東京都墨田区向島３−４６−１０,03-3622-1545,水曜（祝日の場合は要ホームページ確認）,１５：３０−２６：００,35.711393,139.809324
おかめ湯,https://www.1010.or.jp/map/item/item-cnt-154,550,東京都墨田区八広１−１−２,03-3611-4459,月曜,１６：３０−２３：１５,35.7203155,139.8209615
三徳湯,https://www.1010.or.jp/map/item/item-cnt-156,550,東京都墨田区八広６−８−８,03-3614-1058,土曜,１５：３０−２３：００,35.728429,139.8263468
電気湯,https://www.1010.or.jp/map/item/item-cnt-159,550,東京都墨田区京島３−１０−１０,03-3610-8998,土曜,１５：００−２４：００（最終受付２３：３０）日曜は８：００−１２：００も営業,35.716463,139.8225476
みまつ湯,https://www.1010.or.jp/map/item/item-cnt-165,550,東京都墨田区墨田４−９−１２,03-3611-7937,土曜,１５：３０−２１：００,35.7326203,139.8210417
田中湯,https://www.1010.or.jp/map/item/item-cnt-166,550,東京都墨田区墨田５−４６−５,03-3611-3277,月曜,１６：００−２３：００（最終入場は２２：２０）,35.734548,139.820066699999
白山湯,https://www.1010.or.jp/map/item/item-cnt-168,550,東京都江東区枝川１−６−１５,03-3645-0862,土曜,１５：００−２３：３０※最終入館２３：００,35.6570052,139.803897799999
金春湯,https://www.1010.or.jp/map/item/item-cnt-169,550,東京都江東区東陽１−６−９,03-3645-2303,木曜,１５：００−２３：００,35.667368,139.809058
辰巳湯,https://www.1010.or.jp/map/item/item-cnt-172,550,東京都江東区三好１−２−３,03-3641-9436,月曜（祝日は営業。翌火曜も営業）,１４：００−２４：００、土曜・日曜・祝日１１：００−２４：００（最終入場２３：３０）,35.6798999,139.799692199999
深川温泉 常盤湯,https://www.1010.or.jp/map/item/item-cnt-173,550,東京都江東区常盤２−３−８,03-3631-9649,木曜,１２：００−２４：３０最終受付閉店30分前,35.6847382,139.796989599999
竹の湯,https://www.1010.or.jp/map/item/item-cnt-174,550,東京都江東区森下４−９−１８,03-3631-5268,土曜,１５：３０−２３：００,35.6855381,139.8060331
猿江 亀の湯,https://www.1010.or.jp/map/item/item-cnt-175,550,東京都江東区猿江１−１８−９,03-3631-5449,土曜,１５：３０−２４：００,35.687024,139.811682499999
隆乃湯,https://www.1010.or.jp/map/item/item-cnt-178,550,東京都江東区亀戸５−９−７,03-3681-5440,木曜,１５：０５−２３：３０,35.6989672,139.828017
富山湯,https://www.1010.or.jp/map/item/item-cnt-179,550,東京都江東区亀戸６−４９−１４,03-3681-5912,土曜,１５：００−２３：００,35.6946123,139.8325416
らかん湯,https://www.1010.or.jp/map/item/item-cnt-181,550,東京都江東区大島２−３７−７,03-3684-3775,月曜祝日は営業,１５：００−２３：００,35.6913736,139.8257783
春の湯,https://www.1010.or.jp/map/item/item-cnt-183,550,東京都江東区大島７−２５−１４,03-5626-1830,月曜,１５：２０−２３：００,35.691463,139.841046399999
竹の湯,https://www.1010.or.jp/map/item/item-cnt-184,550,東京都江東区北砂３−２５−８,03-3644-0366,火曜,１５：３０−２２：３０,35.6814888,139.8298779
亀の湯,https://www.1010.or.jp/map/item/item-cnt-186,550,東京都江東区北砂４−２０−２５,03-3644-6514,月曜,１６：００−２２：３０,35.6769006,139.8315833
文化湯,https://www.1010.or.jp/map/item/item-cnt-188,550,東京都江東区北砂６−１４−８,03-3644-7418,月曜祝日は翌日休,１４：００−２２：４５日・祝日は１３：００から営業,35.6843137,139.836977299999
藤の湯,https://www.1010.or.jp/map/item/item-cnt-192,550,東京都江東区東砂３−１８−１７,03-3644-7351,木曜,１４：３０−２２：３０,35.6806837,139.841365799999
不二の湯,https://www.1010.or.jp/map/item/item-cnt-194,550,東京都江東区東砂８−２０−１６,03-3644-1771,月曜、水曜変更の場合事前に告知,１５：００−２２：３０,35.6684019,139.8415769
美登利湯,https://www.1010.or.jp/map/item/item-cnt-195,550,東京都足立区千住旭町２５−１１,03-3881-6626,火曜、第１・第３金曜,１６：００−２３：３０,35.7494096,139.809824599999
梅の湯,https://www.1010.or.jp/map/item/item-cnt-196,550,東京都足立区千住旭町４１−１１,03-3881-6310,不定休（主に日曜）,１６：００−２３：３０、土曜・日曜・祝日は２３：００まで,35.7501843999999,139.8059581
大和湯,https://www.1010.or.jp/map/item/item-cnt-198,550,東京都足立区柳原２−４３−１,03-3881-6029,水曜,１５：３０−２３：００,35.7483654,139.812407799999
金の湯,https://www.1010.or.jp/map/item/item-cnt-203,550,東京都足立区千住柳町３６−８,03-3881-5869,火曜、第１水曜,１５：００−２４：００,35.7550781,139.796364
タカラ湯,https://www.1010.or.jp/map/item/item-cnt-204,550,東京都足立区千住元町２７−１,03-3881-2660,第１木曜、金曜,１５：００−２２：４５（最終入店２２：１５）,35.7559891,139.7942725
曙湯,https://www.1010.or.jp/map/item/item-cnt-206,550,東京都足立区足立４−２２−３,03-3886-0706,木曜、第１水曜,１５：００−２３：００,35.765699,139.8052959
常盤湯（足立）,https://www.1010.or.jp/map/item/item-cnt-207,550,東京都足立区足立４−２８−８,03-3886-0836,月曜、火曜,１５：００−２２：００変更の場合事前に掲示板で告知,35.7647297,139.8081568
明美湯,https://www.1010.or.jp/map/item/item-cnt-209,550,東京都足立区梅田４−４０−２１,03-3887-1856,木曜ただし第５木曜は営業,１５：００−２４：００,35.7655462,139.792310899999
大和湯,https://www.1010.or.jp/map/item/item-cnt-211,550,東京都足立区島根２−１９−７,03-3883-8395,木曜、第１金曜,１５：４５−２１：００,35.7814637,139.797818099999
